,ZIPCODE,PO_NAME,POPULATION,AREA_FT,AREA_MI,STATE,COUNTY,ST_FIPS,CTY_FIPS,AVG_INCOME
147,11102,Astoria,33944.0,19116258.44,0.69,NY,Queens,36,81,87613
148,11103,Astoria,38234.0,20222394.63,0.73,NY,Queens,36,81,87030
149,11104,Sunnyside,27127.0,12084432.12,0.43,NY,Queens,36,81,80842
150,11105,Astoria,36906.0,48795608.08,1.75,NY,Queens,36,81,94627
151,11106,Astoria,38665.0,23866112.73,0.86,NY,Queens,36,81,80566
152,11109,Long Island City,2752.0,581237.15,0.02,NY,Queens,36,81,176615
153,11201,Brooklyn,53041.0,41094886.77,1.47,NY,Kings,36,47,184989
154,11203,Brooklyn,78060.0,60644835.46,2.18,NY,Kings,36,47,67925
155,11204,Brooklyn,77354.0,43555184.61,1.56,NY,Kings,36,47,72448
156,11205,Brooklyn,41125.0,23270147.95,0.83,NY,Kings,36,47,86795
157,11206,Brooklyn,83575.0,40700720.97,1.46,NY,Kings,36,47,61423
158,11207,Brooklyn,93556.0,73966260.54,2.65,NY,Kings,36,47,53854
159,11208,Brooklyn,94410.0,79303684.26,2.84,NY,Kings,36,47,57398
160,11209,Brooklyn,69255.0,57842313.96,2.07,NY,Kings,36,47,98949
161,11210,Brooklyn,67067.0,47887022.99,1.72,NY,Kings,36,47,89162
162,11211,Brooklyn,60861.0,40470881.67,1.45,NY,Kings,36,47,110045
163,11212,Brooklyn,83866.0,41972104.07,1.51,NY,Kings,36,47,43099
164,11213,Brooklyn,62426.0,29631004.44,1.06,NY,Kings,36,47,60525
165,11214,Brooklyn,89061.0,61096539.39,2.19,NY,Kings,36,47,74409
166,11215,Brooklyn,63272.0,61922821.75,2.22,NY,Kings,36,47,171776
167,11216,Brooklyn,53862.0,26478229.26,0.95,NY,Kings,36,47,88367
168,11217,Brooklyn,36615.0,21648157.8,0.78,NY,Kings,36,47,158932
169,11218,Brooklyn,72280.0,36868798.99,1.32,NY,Kings,36,47,93120
170,11219,Brooklyn,92561.0,42002738.47,1.51,NY,Kings,36,47,59532
171,11220,Brooklyn,97257.0,47453785.79,1.7,NY,Kings,36,47,67304
172,11221,Brooklyn,80232.0,38580480.43,1.38,NY,Kings,36,47,72291
173,11222,Brooklyn,36315.0,42825293.24,1.54,NY,Kings,36,47,106860
174,11223,Brooklyn,79864.0,58702923.47,2.11,NY,Kings,36,47,76767
175,11224,Brooklyn,49600.0,46701983.75,1.68,NY,Kings,36,47,54541
176,11225,Brooklyn,56527.0,23698630.12,0.85,NY,Kings,36,47,82001
177,11226,Brooklyn,106132.0,39408598.28,1.41,NY,Kings,36,47,69166
178,11228,Brooklyn,43080.0,43893024.73,1.57,NY,Kings,36,47,95616
179,11229,Brooklyn,79608.0,60119326.14,2.16,NY,Kings,36,47,83189
180,11230,Brooklyn,80857.0,49926703.39,1.79,NY,Kings,36,47,78385
181,11231,Brooklyn,33144.0,40081671.18,1.44,NY,Kings,36,47,156754
182,11232,Brooklyn,29521.0,55879065.15,2.0,NY,Kings,36,47,78443
183,11233,Brooklyn,66737.0,37871693.68,1.36,NY,Kings,36,47,62884
184,11234,Brooklyn,85853.0,206201040.09,7.4,NY,Kings,36,47,102731
185,11235,Brooklyn,76130.0,69053803.03,2.48,NY,Kings,36,47,76248
186,11236,Brooklyn,94480.0,96373991.62,3.46,NY,Kings,36,47,83059
187,11237,Brooklyn,49335.0,27425868.17,0.98,NY,Kings,36,47,69731
188,11238,Brooklyn,46664.0,29429423.46,1.06,NY,Kings,36,47,117496
189,11239,Brooklyn,12562.0,41794660.77,1.5,NY,Kings,36,47,38283
190,11249,Brooklyn,28481.0,17772206.17,0.64,NY,Kings,36,47,0
191,11251,Brooklyn,74.0,10245952.25,0.37,NY,Kings,36,47,0
192,11354,Flushing,58525.0,61985147.45,2.22,NY,Queens,36,81,62603
193,11355,Flushing,82809.0,49383079.08,1.77,NY,Queens,36,81,58478
194,11356,College Point,23379.0,43321159.27,1.55,NY,Queens,36,81,77889
195,11357,Whitestone,38944.0,77359110.61,2.77,NY,Queens,36,81,102577
196,11358,Flushing,37743.0,54622541.09,1.96,NY,Queens,36,81,89248
197,11359,Bayside,0.0,6567982.09,0.24,NY,Queens,36,81,1
198,11360,Bayside,18973.0,38834824.17,1.39,NY,Queens,36,81,106836
199,11361,Bayside,28496.0,50163518.24,1.8,NY,Queens,36,81,101199
200,11362,Little Neck,17707.0,54680551.22,1.96,NY,Queens,36,81,105491
201,11363,Little Neck,7060.0,24242790.02,0.87,NY,Queens,36,81,131100
202,11364,Oakland Gardens,33937.0,84259665.05,3.02,NY,Queens,36,81,98555
203,11365,Fresh Meadows,40528.0,69385865.59,2.49,NY,Queens,36,81,85608
204,11366,Fresh Meadows,13168.0,20358592.75,0.73,NY,Queens,36,81,102383
205,11367,Flushing,41773.0,72810151.59,2.61,NY,Queens,36,81,77653
206,11368,Corona,109069.0,72489663.28,2.6,NY,Queens,36,81,63829
